iter	RMSE
0	5.278206047
1	5.187660082
2	5.097292895
3	5.022678251
4	4.947370595
5	4.868573425
6	4.781481323
7	4.698798129
8	4.620433206
9	4.552313228
10	4.48020846
11	4.409397326
12	4.34232443
13	4.263820284
14	4.200677467
15	4.121744951
16	4.052204108
17	3.981175054
18	3.91498497
19	3.856503515
20	3.797600384
21	3.728575019
22	3.670866787
23	3.618218866
24	3.554416013
25	3.494175268
26	3.441461137
27	3.381012756
28	3.330746281
29	3.273878966
30	3.22351368
31	3.184223381
32	3.13691283
33	3.093084416
34	3.041755079
35	2.999107107
36	2.950990655
37	2.910785521
38	2.864961219
39	2.824424699
40	2.780809742
41	2.745107325
42	2.707299277
43	2.669994847
44	2.632548403
45	2.596044974
46	2.558655306
47	2.519177373
48	2.484995652
49	2.448133407
50	2.41241598
51	2.374730802
52	2.340737133
53	2.3070537
54	2.279162509
55	2.244239441
56	2.214475496
57	2.185024445
58	2.157054177
59	2.126259362
60	2.092862937
61	2.065445937
62	2.039700834
63	2.009932107
64	1.985975667
65	1.959755565
66	1.937531197
67	1.911390415
68	1.882402009
69	1.859292985
70	1.832602982
71	1.806953571
72	1.778551802
73	1.758233604
74	1.736356404
75	1.716450705
76	1.695688391
77	1.678031419
78	1.658492984
79	1.640917004
80	1.619823828
81	1.596923752
82	1.575578296
83	1.555256668
84	1.535660197
85	1.516010346
86	1.498960643
87	1.482783324
88	1.465696925
89	1.447993471
90	1.43003543
91	1.414953203
92	1.399144858
93	1.379466924
94	1.365244377
95	1.352569998
96	1.334081476
97	1.321366718
98	1.308598816
99	1.293553723
100	1.280701786
101	1.268759681
102	1.256294485
103	1.242750605
104	1.228662757
105	1.216251516
106	1.203597508
107	1.191557532
108	1.176200826
109	1.1644709
110	1.150238084
111	1.136633285
112	1.125419923
113	1.112182414
114	1.099443959
115	1.09024234
116	1.08085586
117	1.06976092
118	1.059627273
119	1.049522381
120	1.03805981
121	1.027549751
122	1.018291938
123	1.009427561
124	0.9991856069
125	0.9884349297
126	0.9772378039
127	0.9680092901
128	0.958809512
129	0.9487890292
130	0.9412389978
131	0.9315999568
132	0.9245062529
133	0.915118905
134	0.9050014171
135	0.8968046224
136	0.8878244442
137	0.8788961132
138	0.8715368662
139	0.863508312
140	0.8563238078
141	0.848043104
142	0.8406808927
143	0.8320046258
144	0.8248557473
145	0.8184648369
146	0.8109846146
147	0.8040357403
148	0.7968964644
149	0.7904727442
150	0.7831769773
151	0.7757122711
152	0.7690091499
153	0.7634068891
154	0.7561702361
155	0.7491377262
156	0.7425764926
157	0.7377254833
158	0.7316029668
159	0.7250605626
160	0.7195462071
161	0.7136984635
162	0.7083970423
163	0.7019863221
164	0.6962142676
165	0.692562443
166	0.6867998736
167	0.6818539074
168	0.6768623178
169	0.6724425136
170	0.6661195349
171	0.6605442583
172	0.6550368883
173	0.6494957856
174	0.6447885233
175	0.6407817799
176	0.6356701288
177	0.6310123214
178	0.6269372186
179	0.6225945432
180	0.6176530689
181	0.6125854904
182	0.6078118643
183	0.6048581317
184	0.6012066145
185	0.5969354079
186	0.592632508
187	0.5882213108
188	0.5838971069
189	0.5801579372
190	0.5760924035
191	0.572086965
192	0.5679028579
193	0.5661903014
194	0.5622633921
195	0.5588527604
196	0.5553699314
197	0.5514855966
198	0.5486755872
199	0.544764716
200	0.5402863702
201	0.5383753812
202	0.5350897708
203	0.5315235667
204	0.5273644298
205	0.5234706813
206	0.5188665759
207	0.5153302416
208	0.5115655657
209	0.5085119718
210	0.5049300587
211	0.5020961025
212	0.4995048938
213	0.4966580197
214	0.4942358944
215	0.491063934
216	0.4872103632
217	0.4837530357
218	0.4806221501
219	0.4782161645
220	0.4754850531
221	0.4723931732
222	0.4699737694
223	0.4660721176
224	0.4631429248
225	0.459798702
226	0.4572833847
227	0.4548528061
228	0.4519571263
229	0.4490294014
230	0.4465596641
231	0.4454077266
232	0.4440368338
233	0.4419020514
234	0.4400978887
235	0.437062189
236	0.4345696461
237	0.4324957582
238	0.4304498347
239	0.4285960916
240	0.4256094097
241	0.4230691463
242	0.4208496875
243	0.4186789017
244	0.4174821093
245	0.416544454
246	0.415151621
247	0.4140880106
248	0.4121935437
249	0.4105329496
250	0.4096311765
251	0.4087177198
252	0.4072486607
253	0.4058728665
254	0.4045122705
255	0.4019817578
256	0.4010717235
257	0.4003289935
258	0.3990237439
259	0.3981664107
260	0.3971285605
261	0.3957694396
262	0.3950100318
263	0.3942786622
264	0.3917872333
265	0.3901617582
266	0.3888337421
267	0.3880747459
268	0.3873420072
269	0.3865989166
270	0.3847549404
271	0.3839740486
272	0.3832173431
273	0.3817036105
274	0.3805876295
275	0.3783362149
276	0.3772532508
277	0.3747344662
278	0.372811201
279	0.3704271281
280	0.3676151767
281	0.3662912104
282	0.3650873779
283	0.3626439405
284	0.3605416571
285	0.359578939
286	0.3575295443
287	0.3553972679
288	0.3536376383
289	0.3520942681
290	0.35117725
291	0.3502069835
292	0.3480292763
293	0.3471600145
294	0.345377885
295	0.3444689733
296	0.3431725134
297	0.3420165892
298	0.340243228
299	0.3381817626
300	0.3366572749
301	0.3344497935
302	0.333025302
303	0.3323147354
304	0.3311037495
305	0.3305810652
306	0.3291476064
307	0.3283856339
308	0.3278164409
309	0.3256739768
310	0.324971709
311	0.3243374142
312	0.3237793498
313	0.3225449177
314	0.3219291384
315	0.3211368464
316	0.3205358431
317	0.319944663
318	0.318834174
319	0.3177446194
320	0.3171284434
321	0.3154012827
322	0.3143783542
323	0.3138824649
324	0.3121362935
325	0.3103736346
326	0.3098313528
327	0.3092685039
328	0.3087667712
329	0.3082959535
330	0.3077761379
331	0.3072921882
332	0.305650324
333	0.3042900721
334	0.3038403571
335	0.3033722144
336	0.301429537
337	0.3009701857
338	0.3005172255
339	0.3000396115
340	0.2981323897
341	0.2964101418
342	0.2952067188
343	0.2947477887
344	0.2941527248
345	0.2935684761
346	0.2926751672
347	0.2922537225
348	0.2913382742
349	0.2905113898
350	0.2895736126
351	0.2890220274
352	0.2886425948
353	0.2881573592
354	0.2871849545
355	0.2856379763
356	0.285251331
357	0.2837038645
358	0.2829132078
359	0.2821076529
360	0.2816267898
361	0.2809480804
362	0.2801553238
363	0.2784129843
364	0.276978361
365	0.2766093529
366	0.2759623481
367	0.2745327019
368	0.2732138967
369	0.2724679014
370	0.2721235199
371	0.2717840684
372	0.2714494771
373	0.2696848064
374	0.2682341963
375	0.2675767191
376	0.2661857765
377	0.2654334019
378	0.264758991
379	0.2636514753
380	0.2623438126
381	0.2612840199
382	0.260673592
383	0.2603858811
384	0.2600694012
385	0.2594569261
386	0.258939309
387	0.2586445484
388	0.258370753
389	0.2575167949
390	0.2563180987
391	0.255355361
392	0.2550633249
393	0.2538247321
394	0.2531657352
395	0.2524290302
396	0.2521508877
397	0.251338295
398	0.2510695867
399	0.250371802
400	0.2498521571
401	0.2493642017
402	0.2488684925
403	0.247414914
404	0.2468131476
405	0.2461812236
406	0.2453180154
407	0.24486814
408	0.2442138085
409	0.243568375
410	0.2419707199
411	0.2414478907
412	0.2408456445
413	0.2403698749
414	0.2398139821
415	0.2390139538
416	0.2383934421
